epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,6534.55,1.50262,0.55801,0.00374,0.95283,0.93377,0.97051,0.61662,1.34792,0.44041,0.00477,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,6668.83,1.49671,0.56024,0.00379,0.9501,0.93268,0.97,0.6155,1.34737,0.44391,0.00477,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,6800.54,1.49699,0.55918,0.00375,0.95275,0.93474,0.97158,0.6178,1.34607,0.43622,0.00477,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,6929.08,1.49673,0.56302,0.00379,0.95224,0.93448,0.97048,0.61797,1.3468,0.43853,0.00476,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,7059.41,1.48487,0.55149,0.00375,0.95156,0.93701,0.97125,0.61915,1.34294,0.43625,0.00475,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,7194.57,1.48162,0.55336,0.00372,0.95284,0.93604,0.97148,0.61707,1.34548,0.43543,0.00475,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,7331.93,1.47541,0.54595,0.00372,0.95385,0.93546,0.97145,0.61783,1.34239,0.43239,0.00474,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,7470.33,1.48155,0.55082,0.0037,0.95131,0.93602,0.97132,0.6193,1.33969,0.43493,0.00473,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,7599.9,1.47146,0.54052,0.00372,0.95398,0.93612,0.9718,0.62004,1.34041,0.43389,0.00473,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,7730.24,1.46936,0.54376,0.00367,0.95386,0.938,0.9721,0.61904,1.33801,0.43224,0.00473,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,7859.24,1.47672,0.54891,0.0037,0.95502,0.93655,0.97214,0.62008,1.33678,0.43144,0.00472,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,7990.79,1.46953,0.54151,0.00367,0.95472,0.93821,0.9727,0.62173,1.33393,0.42688,0.00472,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,8121.43,1.46994,0.53756,0.00364,0.95579,0.93935,0.9725,0.62089,1.335,0.42587,0.00472,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
